Dates,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BOSCHLTD,BPCL,IBULHSGFIN,ICICIBANK,INDUSINDBK,INFRATEL,INFY,IOC,KOTAKBANK,ITC,HDFC,Unilever,HNDLCO,Hero_MC,HDFC_Bank,NIfty Index,TATASTEEL,TECHM,ULTRACEMCO,SESAGOA,WIPRO,YESBANK,ZEEL,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH
30-May-13,1837.9,685.45,315.4,9145.45,383.7,,1182.8,528.85,169.55,2341.45,294.5,799.85,354.3,926.25,595.55,106.85,1751.45,725.15,6124.05,301.65,978.8,1988.05,157.65,336.1,500,235,1243.95,309.3,182.1,4913.6,176.95,1432.7,383,327.7,2107.65,3779.5,320.45,742
31-May-13,1820.5,651.65,301.95,9148.25,376.85,,1154.45,517.3,170.5,2411.7,285.85,782.95,339.9,890.15,592.5,102.4,1736.35,700.5,5985.95,291.75,967.5,1878.3,163.9,327.65,487.3,226.1,1218.75,304.1,182.35,4863.1,170.4,1430.55,370.55,324.7,2092,3701.6,306.05,744.85
03-Jun-13,1759.5,662.25,303.4,9035.45,367.85,,1145.15,509.9,168.35,2514.1,284.35,770.4,336.05,869.05,592.1,101.4,1670.5,689.15,5939.3,296.5,940.25,1858.55,160.95,324.95,502.7,236.1,1223.4,307.1,178.3,4694.3,177.75,1430.85,367.55,326.15,2111.85,3690.35,311.45,742.15
04-Jun-13,1767.95,659.8,304.2,9040.8,371.35,,1138.2,509.4,169.7,2495.9,283.75,767.3,337.3,854.2,590.7,100.85,1670.6,683.05,5919.45,298.75,942.5,1868.5,157.6,330.9,492.3,238.9,1218.6,310.7,174.35,4680.3,185.55,1395.45,375.2,325,2157.1,3594.2,311.15,735.6
05-Jun-13,1755.9,659.55,302.45,9051.25,373.65,,1134.4,512.25,169.1,2461.25,282,768.45,334,843.95,590.3,102.5,1665.5,687.95,5923.85,299.1,917.6,1853.9,158.25,325,499.7,233.1,1204.95,309.1,171.4,4675.25,186.95,1382.25,375.55,323.55,2160.65,3540.7,314.95,726.8
06-Jun-13,1745.9,675,295.1,9077.25,373,,1154.6,509.7,168.75,2429.65,276.55,774.7,334.9,845,590.85,102.85,1646.35,682.2,5921.4,295.3,925,1894.6,156.7,330,507.6,235.05,1208.3,305,174.85,4620.05,185.75,1418.1,375.55,323.3,2137.85,3456.55,310.45,747.65
07-Jun-13,1745,657.65,288.3,9018.85,376.2,,1141.7,507.15,165.3,2446.8,270.05,762.9,333.85,839.35,591.15,101.95,1646.9,676.15,5881,292.05,936.95,1860.2,154.5,334.9,502.6,231.6,1205,304.1,171.95,4576.8,184.4,1378.25,373.3,319.7,2190.3,3550.35,307.05,744.2
10-Jun-13,1767,651.9,283.75,9134.1,366.3,,1117.8,495.45,162.7,2486.75,266.45,753.65,337,852.6,592.7,100.6,1642.55,676.35,5878,290.6,940.35,1893.45,151.85,343.25,490.5,231.15,1229.1,301.6,172.95,4537.25,175.85,1355.25,374.2,319.95,2181.5,3597.95,303.75,753.45
11-Jun-13,1783.2,650.65,278.7,9315.45,359.05,,1076.5,476.9,153.9,2475.5,260.45,749.4,334.35,831.15,593.5,94.35,1653,664.9,5788.8,281.2,968,1857.7,147.2,345.05,471.95,222.5,1225.4,296.6,175.75,4489.7,171.7,1322.7,379.9,311.9,2183.95,3527.65,305.95,755.7
12-Jun-13,1743.15,651.75,277.75,9051.8,362.7,,1081.25,492.6,152.25,2421.35,260.15,746.35,331,820.75,593.65,92.3,1610.35,663.95,5760.2,273.75,978.8,1841.1,144.35,344.35,468.75,217.1,1211.95,288.3,174.3,4496.1,174.65,1274.45,384.05,303.05,2178.45,3495.8,304.95,763.65
13-Jun-13,1708.3,625.05,287.7,8993.35,357.3,,1068.85,488.8,153.75,2379.9,250.7,743.4,327,812.2,594.7,96.8,1614,655.1,5699.1,266.15,971.65,1822.25,139.65,340,456.75,216.7,1204.8,286.6,175.05,4444.2,165.75,1270.65,378.5,298.9,2159.05,3482.85,296.55,757.55
14-Jun-13,1764.65,634.1,289.45,9007.7,368.9,,1102.15,482.1,155,2394.95,251.85,756.7,331.75,835,593.6,103.65,1605.8,665.05,5808.4,274.15,965.75,1874,142.1,337.55,478.65,220.8,1214.85,297.2,178.05,4559.5,169.65,1298,377.9,300.95,2175.85,3514.35,302.65,763.7
17-Jun-13,1808.8,635.65,296,9033.05,366.9,,1101.45,486.1,152.1,2422.6,253,756.15,331.85,844.4,595.9,102,1627.25,667.35,5850.05,277.05,971.4,1911.25,140.25,338.05,483.95,224.35,1205.2,300,179.1,4575.35,181.1,1316.05,380.25,301.9,2146.45,3555,299.7,776.3
18-Jun-13,1828.75,617.2,291.95,9031.55,364.85,,1090.95,477.6,151.8,2446.55,248.3,762.8,330.15,834,595.65,101.3,1637.6,657.45,5813.6,285.1,977.85,1865.9,141.9,341.2,475.15,229.45,1214.6,307.9,179.1,4575.25,181.35,1286.6,379.65,303.05,2130.95,3618.7,294.35,779.8
19-Jun-13,1835.65,614.95,299.55,9000,364.75,,1086.7,478.45,154.9,2438.35,240.65,766.15,329.9,842.75,594.75,104.3,1620.65,665.2,5822.25,291.1,1012.3,1837.9,145.95,343.5,478.2,231.4,1216.1,300.7,183.7,4610.55,181.6,1285.05,379.5,299.55,2099.7,3668.45,297.85,779.75
20-Jun-13,1820.35,577.15,288.8,8983.95,351.35,,1046.15,449.25,144.95,2369.1,240.65,738.6,322.7,817.55,593.3,97.75,1602.45,636.6,5655.9,272.55,984.35,1817,139.85,347.5,459.5,227.95,1178.05,297.8,184,4573.65,172.15,1239.8,379.1,295.9,2077.65,3660.6,291.4,759.85
21-Jun-13,1830.05,549.7,291.95,8917.35,348.35,,1044.85,464.3,147.15,2418.75,234.9,729.5,322.35,820.7,590.65,94,1625.95,635.25,5667.65,272.05,995.5,1813.15,138.4,348.4,452.75,235.55,1163.6,302.9,186.35,4557.7,170.8,1259.7,381.3,298.6,2121.4,3561.65,289.65,758.75
24-Jun-13,1794.55,550.45,283.45,8800.55,338.95,,1049.15,453.7,148.45,2380.4,219.05,693.7,314.4,824.8,583.95,94.1,1578.9,625.35,5590.25,266.65,1002,1781.7,134.3,346.55,440.9,230.85,1164.7,301.5,179.6,4393.2,172.75,1243.05,380.1,297,2103.05,3399.65,285.25,760.75
