"","ACC","ADANIPORTS","AMBUJACEM","ASIANPAINT","AUROPHARMA","AXISBANK","BAJAJ.AUTO","BANKBARODA","BPCL","BHARTIARTL","INFRATEL","BOSCHLTD","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","HCLTECH","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","HDFC","ITC","ICICIBANK","IBULHSGFIN","IOC","INDUSINDBK","INFY","KOTAKBANK","LT","LUPIN","M.M","MARUTI","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SUNPHARMA","TCS","TATAMTRDVR","TATAMOTORS","TATAPOWER","TATASTEEL","TECHM","ULTRACEMCO","VEDL","WIPRO","YESBANK","ZEEL","NIfty.Index"
"Mean",1383.184295846,250.74569402229,216.968389057751,959.613171225937,733.243211752786,744.90273556231,2353.28176291793,402.724366767984,658.834802431611,347.570567375887,311.307700101317,17671.5602836879,540.80663627153,325.540577507599,3013.8733029382,14785.2612968592,382.039412360689,1082.85678824721,992.609422492401,2662.66813576494,130.477963525836,776.626089159068,1131.57036474164,318.421681864235,634.769503546099,567.541959531416,353.199949341439,830.517730496454,2052.72112462006,858.94726443769,1406.6201621074,1396.39690982776,1193.45754812563,3608.98419452888,143.376849037487,282.961803444782,141.298784194529,973.349746707194,907.077608915907,764.899746707194,2351.52031408308,271.789665653495,433.742451874367,78.7135258358663,366.00861195542,1154.67765957447,2822.56833839919,183.30663627153,529.796757852077,792.789159067882,369.673252279635,7725.92611561866
"Median",1399.4,265.25,217.25,831.9,740.8,538.1,2357.35,180.4,668.25,344.5,348.2,19398.9,563.1,320.2,3017.05,16277.1,376.95,925.3,1027.45,2636.65,131.15,819.85,1171.6,325.05,313.45,618.75,356.9,864.5,1942.25,763.65,1470.75,1464.7,1232.25,3667.35,142.7,277.45,138.95,965.85,284.05,778.85,2421.95,281.6,436.45,78.35,366.65,567.35,2809.85,188.85,545.05,755.25,372.2,7980.9
"Mode",1204.8,148.3,209.95,507.6,185.75,504.5,1934.75,161.95,362.7,351.25,384.95,8567.5,402.2,326.15,2422.7,3199.6,373.45,1405.8,661.3,2073.05,104.4,560.25,1017.8,324.85,250.1,NA,223.7,414.45,3357.6,770.4,1442.8,874.95,1198,1587.1,149.7,327.9,99,980.5,270.55,632.8,2522.9,286.8,446.6,81,248.15,499.95,1930.25,186.75,552.7,478.65,240,6313.8
"Standard_Deviation",175.69,66.48,28.04,832.04,307.94,421.28,330.66,311.62,204.53,34.35,92.75,5798.39,104.41,42.47,503.89,7289.11,52.47,342.8,241.18,488.54,36.19,129.89,216.69,39.19,485.7,231.95,91.03,304.79,1074.78,230.86,270.26,363.49,171.56,1478.85,13.57,68.41,31.01,122.26,898.96,138.7,266.46,62.93,79.33,10.36,90.33,809.03,707.48,62.23,59.22,354.36,92.73,1027.4
"Variance",30867.04,4419.9,786.02,692296.83,94826.98,177480.62,109335.94,97108.43,41831.48,1180.1,8603.35,33621314.56,10901.51,1803.68,253904.28,53131197.2,2753.26,117515,58167.2,238667.35,1309.53,16870.71,46955.22,1535.69,235909.05,53801.48,8287.07,92897.04,1155146.13,53297.99,73038.86,132122.81,29431.82,2186983.17,184.03,4679.94,961.75,14948.11,808130.53,19237.04,71002.82,3960.59,6292.92,107.39,8159.05,654525.42,500534.69,3872.48,3507,125570.66,8598.5,1055550.05
"Max",1762.8,368.55,285.45,5213.1,1517.25,2023.35,3088.7,1127.9,1133.3,445.25,482.3,27657.9,739.6,443.4,4347.6,29469.05,528.8,2065.7,1631.9,3740.35,203.15,1072.6,1598.85,399.7,1794.1,1119.95,650.2,1490.7,4365.9,1445.6,1876.4,2108.85,1497.85,7147.5,177.5,465.65,211.2,1438.5,2945.75,1169.3,2776,388,604.55,113.95,575.25,2921.65,4485.15,314.5,672.45,1642.4,578.85,9604.9
"Min",930.5,121.95,151.05,392,148.65,371,1708.3,113.7,261.45,277.7,130.65,8026.25,367.5,244,2046.6,3050.95,273.35,708.75,561.9,1578.9,60.9,538.4,652.75,223.5,183,180.55,192.9,337.3,911.1,600.65,694.4,737.7,766.05,1236.35,111.2,173.7,91.35,780.2,151.8,482.45,1392.3,124.5,270.3,56.15,198.25,379.45,1444.7,61.65,324.95,225.85,216.7,5285
"IQR",220.875,112.15,38.025,352.675,237.8,610.575,553.15,484.35,272.225,43.425,143,10706.475,199.625,66.725,652.425,12973.35,79.1750000000001,577.875,355.7,734.875,55.375,247.85,365.925,42.6,789.625,344.1,105.9,529.9,2113.6,233.375,360.9,716.3,178.625,2249.675,19.475,96.525,29.725,137.975,1471.325,217.475,328.725,90.9,126.7,11.925,129.85,1339.4,901.5,91.475,73.6500000000001,497.175,160.275,1361.0875
"skewness",-0.396,-0.343,-0.032,4.039,0.121,1.392,0.071,0.789,-0.221,0.497,-0.526,-0.389,-0.159,0.417,0.488,-0.234,0.308,0.996,0.153,-0.14,0.079,-0.435,-0.212,-0.7,0.805,-0.115,0.314,0.128,0.433,1.256,-0.657,-0.223,-0.722,0.132,0.013,0.522,0.39,1.451,0.8,0.289,-1.354,-0.476,-0.059,0.437,0.177,0.736,0.105,-0.09,-0.889,0.536,0.247,-0.671
"Kurtosis",-0.358,-1.129,-0.579,15.718,-0.031,0.815,-1.054,-0.903,-0.875,-0.266,-0.986,-1.284,-1.266,-0.519,-0.006,-1.197,-0.369,-0.178,-0.609,-0.776,-1.047,-1.151,-0.962,-0.28,-0.956,-0.854,0.377,-0.99,-1.416,0.246,-0.307,-1.124,-0.443,-0.846,-0.553,-0.526,-0.543,2.734,-1.033,-0.458,1.981,-0.661,-0.924,0.634,-0.829,-0.952,-0.723,-0.827,1.706,-0.565,-1.043,-0.636
