"","ACC","ADANIPORTS","AMBUJACEM","ASIANPAINT","AUROPHARMA","AXISBANK","BAJAJ.AUTO","BANKBARODA","BPCL","BHARTIARTL","INFRATEL","BOSCHLTD","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","HCLTECH","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","HDFC","ITC","ICICIBANK","IBULHSGFIN","IOC","INDUSINDBK","INFY","KOTAKBANK","LT","LUPIN","M.M","MARUTI","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SUNPHARMA","TCS","TATAMTRDVR","TATAMOTORS","TATAPOWER","TATASTEEL","TECHM","ULTRACEMCO","VEDL","WIPRO","YESBANK","ZEEL","NIfty.Index"
"Return_mean",0.396754563894523,0.188336713995943,0.0612068965517241,-3.80745436105477,0.409077079107505,-0.931338742393509,1.02789046653144,-0.514148073022312,0.360091277890467,0.0560851926977688,0.205578093306288,14.5973123732252,0.129310344827586,-0.0608519269776876,0.379006085192698,24.8923935091278,0.0862068965517241,0.127941176470588,0.916734279918864,2.01713995943205,0.0976673427991887,0.483823529411765,0.662525354969574,-0.0434584178498986,-0.873630831643002,0.975533049040512,0.126825557809331,0.95841784989858,-1.3643509127789,0.164401622718053,0.344929006085193,0.369624746450304,0.361511156186613,5.58823529411765,0.0047160243407708,-0.157454361054767,0.090973630831643,0.529969574036511,-1.82525354969574,-0.574239350912779,1.06663286004057,0.11551724137931,0.16658215010142,-0.00786004056795132,0.213184584178499,-0.598884381338742,2.12378296146045,0.0884888438133874,0.20289046653144,0.951673427991886,0.291632860040568,3.5338578680203
"Return_median",-0.25,-0.0500000000000114,0.0500000000000114,0.699999999999903,0.649999999999977,0.274999999999977,-0.699999999999818,-0.0249999999999915,0.60000000000008,0.0500000000000114,0.300000000000011,-5.14999999999964,-0.100000000000023,0.0749999999999886,1.69999999999982,5.09999999999968,-0.200000000000017,1.42500000000001,0.175000000000068,0.474999999999909,0,-0.0500000000000114,0.224999999999966,0.149999999999977,-0.25,0.100000000000009,0.25,0.75,1,0.449999999999989,-0.524999999999977,1.02499999999998,0.374999999999943,1.47500000000002,0,0.0500000000000114,0.0500000000000114,0.375,-0.0249999999999915,0.5,0.799999999999955,0.175000000000011,0,0,0.0499999999999829,0.324999999999989,0.399999999999977,-0.0249999999999773,0.449999999999989,0.774999999999977,0.199999999999989,3.19999999999982
"Return_mode",1.5,-1.25,0,6.10000000000002,3.75,2,-4.5,-0.25,1.35000000000002,-1.25,-1.25,25.3499999999985,-2,0,-5.5,31.5,-2.25,-2.70000000000005,1,0.0999999999999091,-1,0.5,10.7,0.0500000000000114,-6.25,NA,2.69999999999999,-0.5,3.75,-2.85000000000002,-11.8499999999999,-9.25,-1.20000000000005,-30.25,-1,-2,0.150000000000006,-1.39999999999998,-0.5,-3.35000000000002,-3.75,-2.05000000000001,2.5,-0.25,1.25,-8,19.25,-1.55000000000001,2.75,7.54999999999995,-1.75,38.1499999999996
"Return_Std",21.81,6.32,3.9,148.3,30.16,54.09,34.93,31.29,22.8,6.41,7.84,337.4,8.99,6.15,54.22,328.65,8.34,38.74,11.73,42.04,3.43,11.4,19.41,6.38,48.09,13.42,12.48,13.81,85.66,27.26,28.87,26.44,20.02,59.48,2.49,6.92,2.07,15.62,87.1,23.14,35.01,6.47,9.46,1.65,8.42,71,49.14,5.04,7.64,17.75,7.16,71.95
"Return_variance",475.62,39.99,15.24,21994.34,909.63,2925.54,1220.35,979.24,519.9,41.08,61.54,113840.12,80.89,37.83,2939.75,108013.49,69.58,1500.88,137.63,1767.08,11.74,129.93,376.73,40.74,2312.49,180.05,155.8,190.58,7338.21,743.12,833.41,699.12,400.88,3538.14,6.2,47.87,4.27,244.09,7585.86,535.48,1225.59,41.86,89.53,2.72,70.89,5041.37,2415.12,25.38,58.37,314.9,51.27,5176.91
"log_return_mean",0.000277325296832815,0.000800010142761544,0.000290303769592088,-0.00146456502632466,0.00120454158661774,-0.00103885890666929,0.000445422399846281,-0.00136459123292314,0.00066440017390203,0.000163845269399339,0.00079758397869419,0.000958799840019361,0.000291435748908797,-0.000205103047848338,0.000165546839928934,0.00204269431274482,0.00023861186961494,0.000159244693329377,0.00082086589432236,0.000769508289703197,0.000651641623396125,0.000596709470813301,0.000541297610174284,-0.000130735497131108,-0.00132145368628287,0.00183828606823336,0.000358928707124175,0.00103948120272737,-0.0008667115962712,0.000187158482936487,0.000216739118931771,0.000394949813425061,0.000307965491082622,0.00149451516905381,2.96766451512975e-05,-0.000634293065395731,0.000587128793985904,0.000492065750499675,-0.00200640750715074,-0.000759482788938009,0.000539005690282089,0.000513257318495152,0.000423358302396575,-9.11658344157202e-05,0.000536272016712991,-0.000937676566765614,0.000729672721155425,0.000446726752502081,0.0004736361439504,0.00107164685988398,0.000810481905574395,0.000456903291940883
"log_return_median",-0.000169517287759824,-0.000243476266342579,0.000201271068586806,0.000902841033320279,0.00113329344030788,0.000315762153757504,-0.000293776320011485,-8.46238472020922e-05,0.00105682663607931,0.000145996170394014,0.00131626921830996,-0.000432308054659103,-0.000175402969587513,0.0002258424683097,0.000564095102561168,0.000321440941684514,-0.00054222556640271,0.00157021531788581,0.000196149800055334,0.000240881393566816,0,-5.59275186571284e-05,0.000205386755642856,0.000467441624055098,-0.000879108723275568,0.000223156971084659,0.000682645693024675,0.000928351958196849,0.000475982983362044,0.000495479012097899,-0.000420077924710327,0.000809217520010286,0.000279524216532767,0.000672037462587483,0,0.000271862209582974,0.000454547613969236,0.000341663842728046,-2.83502962683535e-05,0.000597190312819684,0.000351876929462591,0.000682572266252013,0,0,0.000132690526141843,0.000544675948228601,0.000162682004519965,-9.16842397362672e-05,0.000826942702752742,0.000966974085324868,0.000590664185819989,0.00043114170305536
"log_return_mode",-0.0204660572532651,0,0,-0.0103307760559908,0,0.010814857216122,0,-0.00900767078228171,-0.0130720815673531,0,0,0.00030611631565769,0,0,-0.00745303653564555,-0.0208265671394425,0,0.00383361265822124,0,-0.008658807467949,0,0,-0.0397541887594244,0,-0.0242604689133099,NA,0,-0.022081860764593,0.0295614974394383,0,-0.0188818282016348,-0.0369266582878334,-0.0376273979754052,-0.0196731700272785,0,0,0,-0.037129211619682,0,-0.0284209281752936,-0.000633787568958155,0,0,0,-0.0333701337201058,-0.0116119066645792,-0.0567871463862986,0,0,-0.0007196598282464,0,0
"log_return_variance",0.000250912618489581,0.000633964376069915,0.000332354411166446,0.00569189309533925,0.00106747771220047,0.00311475301729714,0.000228308497352114,0.00337283362545218,0.000974134392441592,0.000345009009513172,0.000524555644253845,0.000298118875729566,0.000252197842031661,0.000345883988102843,0.000289893116530668,0.000427566417930972,0.000451570837397703,0.000837067256929693,0.000174690352104855,0.000251515300548027,0.000710483215948789,0.000211380016842146,0.000308892686830667,0.000403307548992624,0.00302906587015716,0.000587771287145285,0.000898034520785695,0.000358783381763817,0.00125262366786048,0.000780135152136031,0.000488388368089755,0.000308018686579137,0.00028837899240295,0.000274403963589208,0.00030748436041972,0.000562282030095408,0.000218109019651781,0.000256863273305438,0.00570096828566407,0.00082892582061638,0.000227035414687933,0.000551328624767344,0.000500389585585303,0.00042228739668966,0.000587108917992455,0.00233057139787693,0.000308174774118838,0.000915135405584636,0.000205611400615597,0.000695080711231321,0.000373322458212927,9.36040146538059e-05
"log_rReturn_Std",0.02,0.03,0.02,0.08,0.03,0.06,0.02,0.06,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.01,0.02,0.02,0.06,0.02,0.03,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.08,0.03,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.03,0.01,0.03,0.02,0.01
