Date,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BPCL,BHARTIARTL,INFRATEL,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ITC,ICICIBANK,IBULHSGFIN,IOC,INDUSINDBK,INFY,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMTRDVR,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,NIfty Index
30-05-13,1243.95,154.65,182.1,4913.6,176.95,1432.7,1837.9,685.45,383.7,315.4,169.55,9145.45,383,327.7,2107.65,3779.5,320.45,742,725.15,1751.45,106.85,595.55,926.25,354.3,1182.8,,294.5,528.85,2341.45,799.85,1427.45,765.45,1004.65,1637.5,156.6,333.9,114.4,836.8,2088.55,1074.2,1499.4,172.9,317.05,90.15,301.65,978.8,1988.05,157.65,336.1,500,235,6124.05
31-05-13,1218.75,152.05,182.35,4863.1,170.4,1430.55,1820.5,651.65,376.85,301.95,170.5,9148.25,370.55,324.7,2092,3701.6,306.05,744.85,700.5,1736.35,102.4,592.5,890.15,339.9,1154.45,,285.85,517.3,2411.7,782.95,1400.75,737.7,967.55,1605.6,154.2,327.9,113.3,806.3,2046.75,1044.1,1498.45,172.85,313.3,89.4,291.75,967.5,1878.3,163.9,327.65,487.3,226.1,5985.95
03-06-13,1223.4,153.55,178.3,4694.3,177.75,1430.85,1759.5,662.25,367.85,303.4,168.35,9035.45,367.55,326.15,2111.85,3690.35,311.45,742.15,689.15,1670.5,101.4,592.1,869.05,336.05,1145.15,,284.35,509.9,2514.1,770.4,1387.3,753.25,973.8,1568.55,152.2,317,111.4,787.9,2069.85,1017.65,1469.4,172,314.05,88.05,296.5,940.25,1858.55,160.95,324.95,502.7,236.1,5939.3
04-06-13,1218.6,155.35,174.35,4680.3,185.55,1395.45,1767.95,659.8,371.35,304.2,169.7,9040.8,375.2,325,2157.1,3594.2,311.15,735.6,683.05,1670.6,100.85,590.7,854.2,337.3,1138.2,,283.75,509.4,2495.9,767.3,1409.5,769.35,987.2,1546.8,154.05,318.2,113.2,780.2,2028.2,1018.25,1465.35,168.35,306.1,89.05,298.75,942.5,1868.5,157.6,330.9,492.3,238.9,5919.45
05-06-13,1204.95,154.55,171.4,4675.25,186.95,1382.25,1755.9,659.55,373.65,302.45,169.1,9051.25,375.55,323.55,2160.65,3540.7,314.95,726.8,687.95,1665.5,102.5,590.3,843.95,334,1134.4,,282,512.25,2461.25,768.45,1419.75,766.05,986.55,1568.25,153.95,324.6,112.45,802,2031.75,1037,1467.8,170.1,307.3,88.95,299.1,917.6,1853.9,158.25,325,499.7,233.1,5923.85
06-06-13,1208.3,152.5,174.85,4620.05,185.75,1418.1,1745.9,675,373,295.1,168.75,9077.25,375.55,323.3,2137.85,3456.55,310.45,747.65,682.2,1646.35,102.85,590.85,845,334.9,1154.6,,276.55,509.7,2429.65,774.7,1431.55,753.3,991.2,1587.1,150.75,323.9,112.05,792,2048.8,1018.1,1470.75,169.3,306.7,88.25,295.3,925,1894.6,156.7,330,507.6,235.05,5921.4
07-06-13,1205,152.05,171.95,4576.8,184.4,1378.25,1745,657.65,376.2,288.3,165.3,9018.85,373.3,319.7,2190.3,3550.35,307.05,744.2,676.15,1646.9,101.95,591.15,839.35,333.85,1141.7,,270.05,507.15,2446.8,762.9,1412.3,762,966.35,1554.9,147.8,319.3,110.65,783.6,2024.15,1012.45,1518.95,165.5,301.9,88.6,292.05,936.95,1860.2,154.5,334.9,502.6,231.6,5881
10-06-13,1229.1,150.8,172.95,4537.25,175.85,1355.25,1767,651.9,366.3,283.75,162.7,9134.1,374.2,319.95,2181.5,3597.95,303.75,753.45,676.35,1642.55,100.6,592.7,852.6,337,1117.8,,266.45,495.45,2486.75,753.65,1404.45,761.3,976.35,1521.85,150.05,321.05,110,789.35,2011.55,998.65,1525.05,161.75,296.05,87.65,290.6,940.35,1893.45,151.85,343.25,490.5,231.15,5878
11-06-13,1225.4,148.3,175.75,4489.7,171.7,1322.7,1783.2,650.65,359.05,278.7,153.9,9315.45,379.9,311.9,2183.95,3527.65,305.95,755.7,664.9,1653,94.35,593.5,831.15,334.35,1076.5,,260.45,476.9,2475.5,749.4,1403.05,756.5,946.9,1490.45,150.2,308.2,107.85,785.6,1997.5,982.4,1501.55,156.8,293.15,82.35,281.2,968,1857.7,147.2,345.05,471.95,222.5,5788.8
12-06-13,1211.95,144.15,174.3,4496.1,174.65,1274.45,1743.15,651.75,362.7,277.75,152.25,9051.8,384.05,303.05,2178.45,3495.8,304.95,763.65,663.95,1610.35,92.3,593.65,820.75,331,1081.25,,260.15,492.6,2421.35,746.35,1396.6,771.05,947.3,1479.65,151.15,309.2,108,790.8,2006.05,980.7,1468.1,154.75,293.55,79.8,273.75,978.8,1841.1,144.35,344.35,468.75,217.1,5760.2
